,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.96,0.95,0.96,0.96,0.05,0.04
Shrubland,0.09,0.32,0.09,0.32,0.14,0.91,0.68
Flooded Forest,0.43,0.16,0.43,0.16,0.23,0.57,0.84
Wetland,0.53,0.2,0.53,0.2,0.29,0.47,0.8
Natural Grassland,0.55,0.59,0.55,0.59,0.57,0.45,0.41
Pastureland,0.71,0.91,0.71,0.91,0.8,0.29,0.09
Cropland,0.03,0.17,0.03,0.17,0.05,0.97,0.83
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.91,0.81,0.91,0.81,0.85,0.09,0.19
